,bin,subfield_name,first_author,author_corresponding,counts,work_citedby
454,2,Geriatrics and Gerontology,1,1,6,219
455,2,Global and Planetary Change,4,2,8,652
456,2,Health,36,13,96,6644
457,2,Health Information Management,3,1,10,657
458,2,"Health, Toxicology and Mutagenesis",22,6,108,5156
459,2,Hematology,112,108,605,20953
460,2,Hepatology,15,6,102,4558
461,2,History,30,25,33,27
462,2,History and Philosophy of Science,5,2,6,103
463,2,Human-Computer Interaction,1,0,6,111
464,2,Immunology,82,61,495,52002
465,2,Immunology and Allergy,6,3,40,952
466,2,Industrial and Manufacturing Engineering,1,1,1,0
467,2,Infectious Diseases,94,43,314,20454
468,2,Information Systems,13,2,38,1223
469,2,Information Systems and Management,2,1,15,65
470,2,Inorganic Chemistry,2,1,17,732
471,2,Insect Science,6,2,13,707
472,2,Internal Medicine,0,0,4,79
473,2,Language and Linguistics,3,3,3,25
474,2,Law,40,35,48,1826
475,2,Life-span and Life-course Studies,1,1,1,0
476,2,Linguistics and Language,0,1,1,35
477,2,Literature and Literary Theory,5,4,9,232
478,2,Management Information Systems,5,0,11,1294
479,2,Management Science and Operations Research,9,3,14,350
480,2,Management of Technology and Innovation,8,7,13,143
481,2,"Management, Monitoring, Policy and Law",2,0,3,25
482,2,Marketing,11,8,20,1959
483,2,Materials Chemistry,20,7,135,17038
484,2,Mathematical Physics,5,4,8,854
485,2,Mechanical Engineering,2,0,6,30
486,2,Mechanics of Materials,1,0,1,33
487,2,Medical Laboratory Technology,0,0,3,0
488,2,Microbiology,25,12,95,4643
489,2,Modeling and Simulation,0,1,4,216
490,2,Molecular Biology,285,182,1473,96195
491,2,Molecular Medicine,3,1,29,1406
492,2,Museology,1,1,1,0
493,2,Music,0,0,1,173
494,2,Nature and Landscape Conservation,4,2,5,78
495,2,Nephrology,29,11,74,4689
496,2,Neurology,111,69,435,35765
497,2,Neuropsychology and Physiological Psychology,3,1,3,13
498,2,Nuclear and High Energy Physics,1,1,1,0
499,2,Nutrition and Dietetics,31,23,165,8395
500,2,Obstetrics and Gynecology,8,3,26,310
501,2,Occupational Therapy,4,3,6,140
502,2,Ocean Engineering,1,0,2,74
503,2,Oncology,72,42,404,18332
504,2,Ophthalmology,23,17,149,3609
505,2,Oral Surgery,0,0,2,74
506,2,Organic Chemistry,26,16,122,8260
507,2,Organizational Behavior and Human Resource Management,9,4,27,1573
508,2,Orthopedics and Sports Medicine,6,0,11,348
509,2,Otorhinolaryngology,21,6,85,2651
510,2,Paleontology,1,1,1,38
511,2,Parasitology,5,6,26,1268
512,2,Pathology and Forensic Medicine,43,44,290,14934
513,2,"Pediatrics, Perinatology and Child Health",75,34,260,17723
514,2,Periodontics,1,2,5,96
515,2,Pharmaceutical Science,3,7,32,5151
516,2,Pharmacology,34,27,101,4689
517,2,Pharmacy,6,3,11,226
518,2,Philosophy,23,17,29,96
519,2,"Physical Therapy, Sports Therapy and Rehabilitation",1,0,6,402
520,2,Physical and Theoretical Chemistry,7,5,14,40
521,2,Physiology,70,26,279,21051
522,2,Plant Science,7,4,36,3576
523,2,Political Science and International Relations,79,67,90,2332
524,2,Pollution,1,1,2,68
525,2,Polymers and Plastics,0,0,2,450
526,2,Psychiatry and Mental health,72,38,219,13854
527,2,Public Administration,2,2,3,26
528,2,"Public Health, Environmental and Occupational Health",99,54,343,19839
529,2,Pulmonary and Respiratory Medicine,107,40,531,28486
530,2,Radiation,15,4,56,1464
531,2,Radiological and Ultrasound Technology,1,0,4,87
532,2,"Radiology, Nuclear Medicine and Imaging",91,47,397,14187
533,2,Rehabilitation,6,3,38,2231
534,2,Religious studies,21,14,24,168
535,2,"Renewable Energy, Sustainability and the Environment",5,0,19,6919
536,2,Reproductive Medicine,7,3,38,1415
537,2,Rheumatology,14,6,78,2708
538,2,Safety Research,8,3,28,597
539,2,Sensory Systems,12,12,23,672
540,2,Signal Processing,2,1,2,38
541,2,Small Animals,4,1,14,389
542,2,Social Psychology,57,34,168,21405
543,2,Sociology and Political Science,94,65,162,7943
544,2,Space and Planetary Science,1,1,1,4
545,2,Spectroscopy,5,1,37,987
546,2,Speech and Hearing,2,1,8,158
547,2,Statistical and Nonlinear Physics,9,3,12,80
548,2,Statistics and Probability,16,8,55,1398
549,2,"Statistics, Probability and Uncertainty",5,4,12,77
550,2,Strategy and Management,12,11,20,1522
551,2,Structural Biology,1,0,1,10
552,2,"Surfaces, Coatings and Films",0,0,1,24
553,2,Surgery,143,75,548,21511
554,2,Theoretical Computer Science,1,1,1,0
555,2,"Tourism, Leisure and Hospitality Management",4,1,4,361
556,2,Toxicology,1,2,14,507
557,2,Transplantation,12,7,45,3709
558,2,Transportation,3,1,6,363
559,2,Urban Studies,2,2,3,83
560,2,Urology,6,3,26,1300
561,2,Virology,34,36,223,16808
562,2,Visual Arts and Performing Arts,3,3,3,4
563,2,Water Science and Technology,0,0,2,235
564,3,Accounting,19,12,35,2586
565,3,Aerospace Engineering,1,1,3,40
566,3,Aging,9,7,41,1070
567,3,Agronomy and Crop Science,3,3,9,222
568,3,Algebra and Number Theory,0,0,1,21
569,3,Analytical Chemistry,0,0,5,60
570,3,Anatomy,1,1,1,0
571,3,Anesthesiology and Pain Medicine,10,7,27,365
572,3,Anthropology,11,11,12,278
573,3,Applied Mathematics,0,0,5,33
574,3,Applied Microbiology and Biotechnology,1,0,4,428
575,3,Applied Psychology,3,1,19,388
576,3,Archeology,9,6,9,25
577,3,Artificial Intelligence,11,8,73,2121
578,3,Astronomy and Astrophysics,1,1,8,323
579,3,Atmospheric Science,2,1,21,794
580,3,"Atomic and Molecular Physics, and Optics",24,11,141,4413
581,3,Automotive Engineering,2,0,3,136
582,3,Behavioral Neuroscience,27,13,155,14005
583,3,Biochemistry,15,9,131,6610
584,3,Bioengineering,0,0,4,200
585,3,Biological Psychiatry,16,5,88,19603
586,3,Biomaterials,7,7,72,3344
587,3,Biomedical Engineering,31,20,204,4130
588,3,Biophysics,4,0,27,1098
589,3,Biotechnology,3,0,19,477
590,3,Business and International Management,0,0,1,14
591,3,Cancer Research,46,20,405,19670
592,3,Cardiology and Cardiovascular Medicine,165,74,1135,46266
593,3,Catalysis,1,0,1,0
594,3,Cell Biology,25,16,149,6736
595,3,Cellular and Molecular Neuroscience,70,49,448,17150
596,3,Chemical Health and Safety,1,1,1,0
597,3,Clinical Biochemistry,13,12,63,1875
598,3,Clinical Psychology,71,23,317,21584
599,3,Cognitive Neuroscience,101,57,359,30453
600,3,Communication,5,2,10,260
601,3,Complementary and Manual Therapy,1,1,3,204
602,3,Complementary and alternative medicine,4,6,29,1124
603,3,Computational Mathematics,0,0,2,92
604,3,Computational Mechanics,2,0,13,320
605,3,Computational Theory and Mathematics,3,4,28,304
606,3,Computer Networks and Communications,2,2,25,195
607,3,Computer Science Applications,0,0,7,606
608,3,Computer Vision and Pattern Recognition,4,1,27,563
609,3,Condensed Matter Physics,6,3,7,123
610,3,Critical Care and Intensive Care Medicine,9,7,46,6079
611,3,Cultural Studies,7,6,8,182
612,3,Demography,7,5,9,60
613,3,Dermatology,12,10,57,1748
614,3,Development,1,1,2,137
615,3,Developmental Biology,5,9,22,607
616,3,Developmental Neuroscience,5,5,31,2170
617,3,Developmental and Educational Psychology,29,13,62,1873
618,3,Discrete Mathematics and Combinatorics,6,1,25,382
619,3,Earth-Surface Processes,0,0,1,0
620,3,Ecology,6,8,43,1712
621,3,"Ecology, Evolution, Behavior and Systematics",3,3,26,2357
622,3,Economics and Econometrics,84,45,200,4654
623,3,Education,11,7,26,382
624,3,Electrical and Electronic Engineering,3,1,14,366
625,3,Electrochemistry,0,1,4,92
626,3,"Electronic, Optical and Magnetic Materials",4,3,8,72
